中国,6J1,MT7pin,,,,,
五極管,ヒーター,6.3V,175mA,交流点火,,,
三極管接続,Eg2=Ep,,,,,,
,,Eg,,,,,
,Ip(mA),0,-0.2,-0.4,-0.6,-0.8,-1
Ep,0,0.00213,0.0005,0.00009,0.00002,0,0
,1,0.00721,0.00158,0.00029,0.00005,0.00001,0
,2,0.01645,0.00375,0.00061,0.00013,0.00002,0
,3,0.03105,0.00729,0.00144,0.00028,0.00005,0.00001
,4,0.05105,0.01266,0.00263,0.00053,0.00009,0.00002
,5,0.07832,0.02015,0.00445,0.00092,0.00018,0.00003
,6,0.113,0.03043,0.00709,0.00162,0.00034,0.00006
,7,0.153,0.04461,0.01123,0.0026,0.00056,0.00011
,8,0.198,0.06187,0.01654,0.00397,0.00091,0.00018
,9,0.252,0.08158,0.02364,0.00591,0.00142,0.0003
,10,0.313,0.108,0.03285,0.00852,0.00213,0.00048
,11,0.381,0.139,0.04242,0.01241,0.00315,0.00073
,12,0.458,0.174,0.05544,0.01741,0.00452,0.0011
,13,0.538,0.224,0.07221,0.02369,0.00645,0.00162
,14,0.618,0.271,0.09264,0.0316,0.00885,0.00231
,15,0.706,0.322,0.122,0.03956,0.01181,0.00327
,16,0.804,0.383,0.151,0.05056,0.01598,0.00445
,17,0.905,0.452,0.184,0.06464,0.02111,0.00601
,18,1.016,0.526,0.223,0.08552,0.02765,0.00814
,19,1.132,0.606,0.267,0.105,0.03703,0.01076
,20,1.278,0.691,0.318,0.129,0.04688,0.01431
